Timestamp,Name of Event/Course,Organization,Duration of Event,Credit,Organization Type,Funding Model,Example Funding Sources,Selection Process,Prerequisites,Target Audience,Event Format,Course Overview site (link),Course Content (link),Topic: Collaboration techniques,Topic: Open Science Principles,Topic: Science Communication,Topic: Data management principles and background,Topic: Data manipulation and integration,Topic: Data analysis and modeling,Topic: Software development,Topic: Visualization,Topic: Other,List of other topics,Submitter Name
9/5/2015 8:44:22,Ecosystem Dynamics,University of New Mexico,Semester,University credit,University,Tuition based,,"First come, first served",Basic Ecology,Undergraduates,"Activities, Lecture, Group projects, Individual Projects",,,0,10,10,5,30,45,0,0,0,,Scott Collins
9/6/2015 14:51:38,Computational Methods Applied to Biological Systems,University of Puerto Rico at Humacao,Semester,University credit,University,"Grant, Tuition based","NASA Space Grant, USDA Forest Service, AAC&U TIDES",regular student course registration,"Pre-Calculus, General Biology",Science or Math Undergraduates,"Activities, Lecture, Group projects, Individual Projects",https://docs.google.com/document/d/1uvmkVg5zGm_7yBmOQcIZoLasRcVf6srdGJC7u4sMM1w/edit?usp=sharing,http://cursosenlinea.uprh.edu/login/index.php,10,5,10,10,20,20,5,10,10,"Reporting, Scientific Writing, Critical Thinking",Denny S. Fernandez del Viso
9/6/2015 23:30:39,Tutorials,NIMBioS,1-3 Days,None,University,Grant,NSF,Application,Varies depending upon activity,"Generally Grad students, postdocs and faculty, some NGO or Govt agencies","Activities, Lecture, Group projects",http://www.nimbios.org/tutorials/,,0,0,0,0,0,0,0,0,100,Note that the % of the above vary depending upon the tutorial,Lou Gross
9/7/2015 11:20:51,Programming for Biologists,Utah State University,Semester,University credit,University,"Tuition based, In-kind contributions (e.g., teaching time)",,"First come, first served",,Undergraduate and graduate students in biology,"Activities, Lecture, Individual Projects",http://www.programmingforbiologists.org/,http://www.programmingforbiologists.org/,0,0,0,20,30,30,10,10,0,,Ethan White
9/7/2015 11:24:59,Data Carpentry Semester,University of Florida & Data Carpentry,Semester,University credit,University,"Grant, Tuition based, In-kind contributions (e.g., teaching time)",Gordon & Betty Moore Foundation,"First come, first served",,Graduate students in biology (planning to add undergrads as well),"Activities, Lecture, Individual Projects",http://datacarpentry.github.io/semester-biology/,http://datacarpentry.github.io/semester-biology/,10,5,0,20,20,20,20,5,0,,Ethan White
9/7/2015 11:27:53,Data Carpentry Workshops,Data Carpentry,1-3 Days,None,Not-for-profit,"Grant, In-kind contributions (e.g., teaching time)",Gordon & Betty Moore Foundation,"First come, first served",,Scientists,"Activities, Lecture",http://datacarpentry.org,http://datacarpentry.github.io/lessons/,0,5,0,35,40,20,0,0,0,,Ethan White
9/7/2015 11:30:29,Software Carpentry Workshop,Software Carpentry,1-3 Days,Certificate,Not-for-profit,"Grant, Tuition based, In-kind contributions (e.g., teaching time)",Sloan Foundation,"First come, first served",,Scientists (mostly graduate students),"Activities, Lecture",http://software-carpentry.org/faq.html,http://software-carpentry.org/lessons.html,10,10,0,10,10,10,50,0,0,,Ethan White
9/7/2015 13:42:27,Computational Summer Institute,SESYNC,1 Week,None,University,Part of SESYNC's funding,,"Application, SESYNC researchers","Thus far, we've not had any prerequisites in terms of technical knowledge. The content and audience for the workshops has varied. Each of the three workshops of this type we've run required students to have a project they want to make progress on using the tools that are taught. Instruction level is aimed at graduate students and above.","multiple (ecology, engineering, hydrology, econ, sociology, anthropology, geography)","Activities, Lecture, Group projects",http://sesync-ci.github.io/CSI-2015/,https://github.com/SESYNC-ci/CSI-2015/tree/master,5,10,0,10,30,10,15,15,5,spatial data,Mary Shelley
9/8/2015 1:21:24,Data Science Curriculum,UC Berkeley,Semester,University credit,University,Tuition based,,"First come, first served, Required for all undergrads",None,All freshmem,"Activities, Lecture, Group projects, Individual Projects, Lab",Databears.Berkeley.edu,,0,0,0,0,40,30,0,30,0,,Carl Boettiger
9/8/2015 2:43:36,Open Science for Synthesis (OSS),NCEAS,3 Weeks,Badge,University,"Grant, Participant self-funded, In-kind contributions (e.g., teaching time)",NSF,Application,"Targeted at graduate students, postdocs, and early career faculty. Basic background in statistics and analysis required.  Generally some basic exposure to stats programming in one or more languages such as R is required.","Postdocs, Faculty, Grad students in ecology and environmental science","Activities, Lecture, Group projects",https://www.nceas.ucsb.edu/OSS,https://github.com/NCEAS/training,10,5,10,20,20,20,10,5,0,,Matthew Jones
